"county","num_caregivers","num_workers","num_practitioners","dens_practitioners","num_patients","dens_patients","num_disp_biz","num_biz_related","num_total"
"Adams","3","47","4","0","836","29.42833004787383836000","3","72","1800"
"Alcorn","3","53","5","0","1305","38.15343234709390715000","4","81","3675"
"Amite","1","10",,,"183","14.50194151676044061000",,"21","386"
"Attala","2","12",,,"278","15.87754868924553087000","1","17","706"
"Benton",,"15",,,"205","27.15231788079470199000",,"27","599"
"Bolivar",,"37","5","0","527","17.94347974123255022000","3","54","1270"
"Calhoun",,"11",,,"213","16.66536264768015022000",,"11","701"
"Carroll",,"14",,,"134","13.77042441681224951000",,"14","325"
"Chickasaw","1","9","2","0","263","15.64358791339519391000",,"9","761"
"Choctaw",,"1",,,"155","19.28580316038322757000",,"1","422"
"Claiborne",,"1","1","0","81","9.19931856899488927000",,"1","161"
"Clarke","1","35",,,"247","16.17444830070067448000","1","73","731"
"Clay","3","29","1","0","361","19.64091403699673558000","1","41","1185"
"Coahoma",,"24","4","0","163","8.07050552062187454000",,"43","392"
"Copiah",,"61","1","0","476","17.17233666438183196000","1","66","1167"
"Covington",,"19",,,"291","16.07912476516742181000",,"22","797"
"DeSoto","22","174","20","0.10431716591123652000","4126","21.52063132748809480000","12","260","11605"
"Forrest","8","132","9","0","1795","22.98041223914991678000","7","203","5158"
"Franklin",,"5","2","0","132","17.27296519235802146000",,"6","317"
"George","2","53","1","0","756","29.99285884313258748000","2","62","1693"
"Greene","2","27",,,"146","10.77331759149940968000",,"70","437"
"Grenada",,"32","2","0","394","18.68361153262518968000","2","58","1052"
"Hancock","11","85","4","0","1797","38.98555126480669935000","10","159","4463"
"Harrison","30","461","19","0","7458","35.33860237675555808000","23","634","18492"
"Hinds","16","508","17","0","4162","19.11541817847793138000","15","760","10137"
"Holmes",,"10",,,"114","7.07152161776564729000",,"10","245"
"Humphreys",,"2",,,"42","5.72753306968498568000",,"2","78"
"Issaquena",,,,,"12","0",,,"39"
"Itawamba","2","38",,,"743","31.08396435593858511000","1","54","2253"
"Jackson","9","407","20","0.13795481979651664000","5323","36.71667528884290395000","17","627","13078"
"Jasper",,"12",,,"245","15.15432671491309458000",,"16","672"
"Jefferson",,"23",,,"95","13.40482573726541555000",,"23","208"
"Jefferson Davis",,"24",,,"130","11.72438672438672439000",,"49","380"
"Jones","2","80","5","0","1182","17.75601255839805315000","4","123","3231"
"Kemper","1","16",,,"128","14.79084816269932979000",,"36","415"
"Lafayette","4","244","7","0","1806","31.34600364488414475000","6","307","6184"
"Lamar","8","88","2","0","1244","18.91066080902360792000","6","151","3800"
"Lauderdale","3","192","10","0","1314","18.53209974049418933000","8","334","4182"
"Lawrence","2","31",,,"240","20.49005378639118928000",,"32","560"
"Leake","1","51",,,"307","14.52566832268748521000","1","70","722"
"Lee","3","197","20","0.24108294458708519000","2609","31.44927012138526260000","11","344","8369"
"Leflore","1","25","1","0","271","10.19947308995107264000","1","28","585"
"Lincoln","6","88","1","0","562","16.18803468041593456000","2","124","1372"
"Lowndes","4","162","6","0","1398","24.26956929326597573000","6","254","4537"
"Madison","6","316","10","0","2460","22.13962362639835123000","5","435","6525"
"Marion","3","25","1","0","452","18.79417879417879418000",,"31","1231"
"Marshall","2","38","2","0","668","19.58369979478158898000","3","60","1700"
"Monroe","2","28","3","0","777","23.14084045626470501000","1","51","2292"
"Montgomery",,"6","1","0","148","15.52990556138509969000",,"6","344"
"Neshoba","1","41","2","0","679","23.68081470372824609000","1","45","1691"
"Newton","2","36",,,"353","16.78634266964667840000",,"36","929"
"Noxubee","1","2",,,"94","9.40940940940940941000",,"2","218"
"Oktibbeha","2","61","3","0","896","17.42275458416784957000","3","88","3008"
"Out of State",,"690",,,"27",,,"693","736"
"Panola","2","87","2","0","778","23.82045865099047794000","2","159","2487"
"Pearl River","8","53","3","0","1547","27.01664309041057613000","1","58","3808"
"Perry","1","11","1","0","231","20.32019704433497537000",,"16","658"
"Pike","5","86","4","0","565","14.25184138835637171000","2","139","1432"
"Pontotoc","2","43","2","0","641","20.42116665073751951000",,"43","1971"
"Prentiss","3","28","5","0","744","30.00968054211035818000","1","38","2212"
"Quitman",,"10",,,"81","14.20803367830205227000",,"20","205"
"Rankin","16","558","23","0.14467319583089590000","5398","33.95417004761635185000","10","665","14042"
"Scott","1","52",,,"496","17.90161331071570361000","2","73","1181"
"Sharkey",,,,,"30","8.60091743119266055000",,,"76"
"Simpson","1","47","5","0","620","24.23105483253214523000","3","68","1537"
"Smith","1","23","1","0","221","15.68265682656826568000",,"23","574"
"Stone","2","36","3","0","559","29.94268573571160748000","1","68","1321"
"Sunflower",,"17",,,"174","7.01301841924952642000","1","30","392"
"Tallahatchie","2","15",,,"156","12.96219360199418363000",,"28","485"
"Tate","1","44","2","0","731","25.83404014701724625000","2","57","1781"
"Tippah","1","11","1","0","497","23.19070505342727824000","1","16","1398"
"Tishomingo","7","34","8","0","765","41.08706160373811698000","1","48","1998"
"Tunica",,"12",,,"90","9.51575385916684288000","1","47","262"
"Union","3","28",,,"634","22.54222222222222222000",,"28","2028"
"Walthall",,"16",,,"185","13.44379042220768839000","1","37","488"
"Warren","1","178","3","0","930","21.80590400712795142000","2","248","2270"
"Washington",,"29","1","0","362","8.51484216963823682000","1","45","707"
"Wayne",,"14",,,"190","9.65398099690056400000",,"14","505"
"Webster",,"7",,,"182","18.21274892424697288000",,"7","567"
"Wilkinson",,"1",,,"52","6.38585287977403905000",,"1","114"
"Winston","1","6",,,"229","13.05363962834178875000",,"6","649"
"Yalobusha","3","63","1","0","437","35.34454868974441928000","1","93","1430"
"Yazoo","1","55",,,"328","12.64066594727917373000","2","105","927"
