Name,Party,Email,District
Lester Carpenter,Republican,lcarpenter@house.ms.gov,1
Brad Mattox,Republican,bmattox@house.ms.gov,2
William Tracy Arnold,Republican,warnold@house.ms.gov,3
Jody Steverson,Republican,jsteverson@house.ms.gov,4
John Faulkner,Democrat,jfaulkner@house.ms.gov,5
Justin Keen,Republican,jkeen@house.ms.gov,6
Kimberly Remak,Republican,kremak@house.ms.gov,7
"Trey Lamar, III",Republican,jlamar@house.ms.gov,8
Cedric Burnett,Republican,cburnett@house.ms.gov,9
Josh Hawkins,Republican,jhawkins@house.ms.gov,10
Lataisha Jackson,Democrat,ljackson@house.ms.gov,11
Clay Deweese,Republican,cdeweese@house.ms.gov,12
Steve Massengill,Republican,smassengill@house.ms.gov,13
Sam Creekmore IV,Republican,screekmore@house.ms.gov,14
Beth Luther Waldo,Republican,bwaldo@house.ms.gov,15
Rickey Thompson,Democrat,rthompson@house.ms.gov,16
Shane Aguirre,Republican,saguirre@house.ms.gov,17
Jerry Turner,Republican,jturner@house.ms.gov,18
Randy Boyd,Republican,rboyd@house.ms.gov,19
Rodney Hall,Republican,rhall@house.ms.gov,20
Donnie Bell,Republican,dbell@house.ms.gov,21
Justin Crosby,Democrat,jcrosby@house.ms.gov,22
Perry Bailey,Republican,pbailey@house.ms.gov,23
Jeff Hale,Republican,jhale@house.ms.gov,24
Dan Eubanks,Republican,deubanks@house.ms.gov,25
Otha Williams,Republican,owilliams@house.ms.gov,26
Orlando Paden,Democrat,opaden@house.ms.gov,27
Kenji Holloway,Democrat,kholloway@house.ms.gov,28
W.I. Harris,Republican,dharris@house.ms.gov,28
Robert Sanders,Democrat,rsanders@house.ms.gov,29
Tracey Rosebud,Democrat,trosebud@house.ms.gov,30
Otis Anthony,Democrat,oanthony@house.ms.gov,31
Solomon Osborne,Democrat,sosborne@house.ms.gov,32
Jim Estrada,Republican,jestrada@house.ms.gov,33
Kevin Horan,Republican,khoran@house.ms.gov,34
Joey Hood,Republican,jhood@house.ms.gov,35
Karl Gibbs,Democrat,kgibbs@house.ms.gov,36
Andy Boyd,Republican,Aboyd@house.ms.gov,37
Cheikh Taylor,Democrat,ctaylor@house.ms.gov,38
Dana McLean,Republican,dmclean@house.ms.gov,39
Hester Jackson McCray,Democrat,hmccray@house.ms.gov,40
Kabir Karriem,Democrat,kkarriem@house.ms.gov,41
Carl Mickens,Democrat,cmickens@house.ms.gov,42
Rob Roberson,Republican,rroberson@house.ms.gov,43
Scott Bounds,Republican,sbounds@house.ms.gov,44
Keith Jackson,Democrat,kjackson@house.ms.gov,45
Karl Oliver,Republican,koliver@house.ms.gov,46
Bryant Clark,Democrat,bclark@house.ms.gov,47
Jason White,Republican,jwhite@house.ms.gov,48
Willie Bailey,Democrat,wbailey@house.ms.gov,49
"John W. Hines, Sr.",Democrat,jhines@house.ms.gov,50
Timaka James-Jones,Democrat,tjamesjones@house.ms.gov,51
Bill Kinkade,Republican,bkinkade@house.ms.gov,52
Vince Mangold,Republican,vmangold@house.ms.gov,53
Kevin Ford,Republican,kford@house.ms.gov,54
Oscar Denton,Democrat,odenton@house.ms.gov,55
Clay Mansell,Republican,cmansell@house.ms.gov,56
Lawrence Blackmon,Democrat,lblackmon@house.ms.gov,57
Jonathan McMillan,Republican,jmcmillan@house.ms.gov,58
Brent Powell,Republican,bpowell@house.ms.gov,59
Fred Shanks,Republican,fshanks@house.ms.gov,60
Gene Newman,Republican,gnewman@house.ms.gov,61
Lance Varner,Republican,lvarner@house.ms.gov,62
Stephanie Foster,Democrat,sfoster@house.ms.gov,63
Shanda Yates,Independent,syates@house.ms.gov,64
Christopher Bell,Democrat,cbell@house.ms.gov,65
Fabian Nelson,Democrat,fnelson@house.ms.gov,66
Earle Banks,Democrat,ebankslaw@aol.com,67
Zakiya Summers,Democrat,zsummers@house.ms.gov,68
Tamarra Butler-Washington,Democrat,gbutlerwashington@house.ms.gov,69
Bo Brown,Democrat,bbrown@house.ms.gov,70
Ronnie Crudup,Democrat,rcrudup@house.ms.gov,71
Justis Gibbs,Democrat,jgibbs@house.ms.gov,72
Jill Ford,Republican,jford@house.ms.gov,73
Lee Yancey,Republican,lyancey@house.ms.gov,74
Celeste Hurst,Republican,churst@house.ms.gov,75
"Gregory Holloway, Sr.",Democrat,gholloway@house.ms.gov,76
Price Wallace,Republican,pwallace@house.ms.gov,77
Randy Rushing,Republican,rrushing@house.ms.gov,78
Mark Tullos,Republican,mtullos@house.ms.gov,79
Omeria Scott,Democrat,oscott@house.ms.gov,80
Stephen A. Horne,Republican,shorne@house.ms.gov,81
Gregory Elliot,Democrat,gelliott@house.ms.gov,82
Billy Adam Calvert,Republican,bcalvert@house.ms.gov,83
Troy Smith,Republican,tsmith@house.ms.gov,84
Jeffery Harness,Democrat,jharness@house.ms.gov,85
Shane Barnett,Republican,sbarnett@house.ms.gov,86
Joseph Tubb,Republican,jtubb@house.ms.gov,87
Charles Blackwell,Republican,cblackwell@house.ms.gov,88
Donnie Scoggin,Republican,dscoggin@house.ms.gov,89
Noah Sanford,Republican,nsanford@house.ms.gov,90
Bob Evans,Democrat,bevans@house.ms.gov,91
Becky Currie,Republican,bcurrie@house.ms.gov,92
Timmy Ladner,Republican,tladner@house.ms.gov,93
Robert Johnson III,Democrat,rjohnson@house.ms.gov,94
Jay McKnight,Republican,jmcknight@house.ms.gov,95
Angela Cockerham,Independent,acockerham@house.ms.gov,96
"Sam Mims, V",Republican,smims@house.ms.gov,97
Daryl Porter,Democrat,dporter@house.ms.gov,98
Bill Pigott,Republican,bpigott@house.ms.gov,99
Ken Morgan,Republican,kmorgan@house.ms.gov,100
Kent McCarty,Republican,kmccarty@house.ms.gov,101
Missy McGee,Republican,mmcgee@house.ms.gov,102
Percy Watson,Democrat,pwatson@house.ms.gov,103
Larry Byrd,Republican,lbyrd@house.ms.gov,104
Elliot Burch,Republican,eburch@house.ms.gov,105
Jansen Owen,Republican,jowen@house.ms.gov,106
Steve Lott,Republican,slott@house.ms.gov,107
Stacey Hobgood-Wilkes,Republican,swilkes@house.ms.gov,108
Manly Barton,Republican,mbarton@house.ms.gov,109
Jeramey Anderson,Democrat,janderson@house.ms.gov,110
Jimmy Fondren,Republican,jfondren@house.ms.gov,111
John Read,Republican,jread@house.ms.gov,112
Henry Zuber III,Republican,hzuber@house.ms.gov,113
Jeffrey Guice,Republican,jguice@house.ms.gov,114
Zachary Grady,Republican,zgrady@house.ms.gov,115
