Name,Party,Email,District
Delbert Hosemann,Republican,ltgov@senate.ms.gov,
Kathy L. Chism,Republican,kchism@senate.ms.gov,3
Rita Potts Parks,Republican,rparks@senate.ms.gov,4
Neil S. Whaley,Republican,nwhaley@senate.ms.gov,10
Briggs Hopson,Republican,bhopson@senate.ms.gov,23
J. Walter Michel,Republican,wmichel@senate.ms.gov,25
Jeff Tate,Republican,jtate@senate.ms.gov,33
Don Hartness,Republican,dhartness@senate.ms.gov,42
Chris Johnson,Republican,chjohnson@senate.ms.gov,44
Andy Berry,Republican,aberry@senate.ms.gov,35
Michael McLendon,Republican,mmclendon@senate.ms.gov,1
Angela Burks Hill,Republican,ahill@senate.ms.gov,40
Tyler McCaughn,Republican,tmccaughn@senate.ms.gov,31
Benjamin Suber,Republican,bsuber@senate.ms.gov,8
Brian Rhodes,Republican,brhodes@senate.ms.gov,36
Lane Taylor,Republican,brhodes@senate.ms.gov,18
Philman Ladner,Republican,pladner@senate.ms.gov,46
"Dennis DeBar, Jr.",Republican,ddebar@senate.ms.gov,43
Joseph M. Seymour,Republican,mseymour@senate.ms.gov,47
Sollie B. Norwood,Democrat,snorwood@senate.ms.gov,28
Joey Fillingane,Republican,jfillingane@senate.ms.gov,41
Lydia Graves Chassaniol,Republican,lchassaniol@senate.ms.gov,14
Bart Williams,Republican,bwilliams@senate.ms.gov,15
Daniel H. Sparks,Republican,dsparks@senate.ms.gov,5
Chuck Younger,Republican,cyounger@senate.ms.gov,17
Josh Harkins,Republican,jharkins@senate.ms.gov,20
"Joel R. Carter, Jr.",Republican,jcarter@senate.ms.gov,49
Scott DeLano,Republican,sdelano@senate.ms.gov,50
Jeremy England,Republican,jengland@senate.ms.gov,51
Brice Wiggins,Republican,bwiggins@senate.ms.gov,52
Mike Thompson,Republican,mthompson@senate.ms.gov,48
Nicole Boyd,Republican,nboyd@senate.ms.gov,9
Jason Barrett,Republican,jbarrett@senate.ms.gov,39
Dean Kirby,Republican,dkirby@senate.ms.gov,30
Chad McMahan,Republican,cmcmahan@senate.ms.gov,6
Kevin Blackwell,Republican,kblackwell@senate.ms.gov,19
Theresa Gillespie Isom,Democrat,tgillespie-isom@senate.ms.gov,2
Hob Bryan,Democrat,hbryan@senate.ms.gov,7
Reginald Jackson,Democrat,rdjackson@senate.ms.gov,11
Derrick T. Simmons,Democrat,rdjackson@senate.ms.gov,12
Sarita Simmons,Democrat,ssimmons@senate.ms.gov,13
Angela Turner-Ford,Democrat,aturner@senate.ms.gov,16
Bradford Blackmon,Democrat,bblackmon@senate.ms.gov,21
Joseph Thomas,Democrat,jthomas@senate.ms.gov,22
Justin Pope,Democrat,jpope@senate.ms.gov,24
Kameisha Mumford,Democrat,kmumford@senate.ms.gov,26
Hillman Terome Frazier,Democrat,hfrazier@senate.ms.gov,27
David Blount,Democrat,dblount@senate.ms.gov,29
Rod Hickman,Democrat,rhickman@senate.ms.gov,32
Juan Barnett,Democrat,jbarnett@senate.ms.gov,34
Albert Butler,Democrat,abutler@senate.ms.gov,37
Gary Brumfield,Democrat,gbrumfield@senate.ms.gov,38
Jonny Dupree,Democrat,jdupree@senate.ms.gov,45
