"county","num_caregivers","num_workers","num_practitioners","dens_practitioners","num_patients","dens_patients","num_disp_biz","num_biz_related","num_total"
"Adams","3","48","6","0","869","30.58997465502675303000","3","73","1859"
"Alcorn","3","55","5","0","1303","38.09495965384165595000","4","83","3757"
"Amite","1","10","","","174","13.78873127823123861000","","22","385"
"Attala","2","13","","","280","15.99177565823290879000","1","18","725"
"Benton","","15","","","205","27.15231788079470199000","","29","617"
"Bolivar","","37","4","0","514","17.50085120871637726000","3","54","1296"
"Calhoun","","11","","","207","16.19591581253423050000","","11","715"
"Carroll","","15","","","136","13.97595313945123831000","","15","343"
"Chickasaw","1","9","2","0","267","15.88151320485367595000","","9","788"
"Choctaw","","1","1","0","156","19.41022769690182904000","","1","434"
"Claiborne","","1","1","0","79","8.97217490062464509000","","1","162"
"Clarke","1","37","","","254","16.63283347521445878000","1","78","757"
"Clay","3","30","1","0","364","19.80413492927094668000","1","42","1218"
"Coahoma","","24","4","0","167","8.26855473585185919000","","43","406"
"Copiah","","62","1","0","477","17.20841300191204589000","1","67","1198"
"Covington","","20","","","296","16.35539838656205106000","","23","822"
"DeSoto","22","179","20","0.10431716591123652000","4145","21.61973263510376950000","13","267","11974"
"Forrest","7","135","9","0","1797","23.00601715529381641000","7","209","5311"
"Franklin","","6","2","0","129","16.88039780162261188000","","7","328"
"George","2","54","1","0","745","29.55645481234626676000","2","63","1746"
"Greene","2","28","","","148","10.92089728453364817000","","71","446"
"Grenada","","32","2","0","401","19.01555386949924127000","2","58","1079"
"Hancock","10","89","4","0","1814","39.35436282379485399000","9","163","4626"
"Harrison","29","477","20","0.094766968025624988154000","7523","35.64659502283883929000","23","653","19068"
"Hinds","16","517","18","0","4112","18.88577596105267992000","16","777","10338"
"Holmes","","10","","","112","6.94745983499782892000","","10","256"
"Humphreys","","2","","","42","5.72753306968498568000","","2","82"
"Issaquena","","","","","13","0","","","41"
"Itawamba","2","38","","","738","30.87478559176672384000","1","54","2308"
"Jackson","10","414","20","0.13795481979651664000","5346","36.87532333160889809000","17","636","13465"
"Jasper","","13","","","242","14.96876353064885260000","","18","683"
"Jefferson","","23","","","95","13.40482573726541555000","","23","218"
"Jefferson Davis","","25","","","129","11.63419913419913420000","","53","387"
"Jones","2","81","6","0","1171","17.59077047875137076000","4","126","3311"
"Kemper","1","16","","","125","14.44418765888606425000","","37","420"
"Lafayette","4","245","7","0","1840","31.93612774451097804000","6","308","6353"
"Lamar","8","89","2","0","1255","19.07787726312269127000","6","152","3911"
"Lauderdale","2","193","9","0","1315","18.54620331716123209000","8","338","4269"
"Lawrence","2","34","","","239","20.40467856228122599000","","35","577"
"Leake","1","51","","","308","14.57298320321741188000","1","71","741"
"Lee","3","198","18","0","2635","31.76267794934847334000","10","345","8586"
"Leflore","1","25","2","0","269","10.12420022581859240000","1","28","595"
"Lincoln","6","89","1","0","567","16.33205634127372757000","2","125","1417"
"Lowndes","3","167","5","0","1410","24.47789177646997552000","6","260","4664"
"Madison","6","326","10","0","2477","22.29262102544256748000","5","450","6733"
"Marion","2","25","1","0","453","18.83575883575883576000","","31","1266"
"Marshall","2","38","2","0","677","19.84755203752565230000","3","61","1756"
"Monroe","2","29","3","0","786","23.40888107931024213000","1","52","2353"
"Montgomery","","7","1","0","150","15.73976915005246590000","","7","359"
"Neshoba","1","41","2","0","670","23.36693056185261396000","1","45","1750"
"Newton","2","36","","","349","16.59612915497646108000","","36","956"
"Noxubee","1","2","","","90","9.00900900900900901000","","2","218"
"Oktibbeha","2","61","3","0","893","17.36441946837264472000","3","88","3079"
"Panola","2","87","2","0","811","24.83083800251063960000","2","159","2571"
"Pearl River","9","53","3","0","1594","27.83744608022912628000","1","58","3977"
"Perry","1","11","1","0","229","20.14426460239268121000","","16","673"
"Pike","3","87","4","0","551","13.89869841590152356000","2","140","1461"
"Pontotoc","2","43","2","0","654","20.83532447672751601000","","43","2034"
"Prentiss","3","29","5","0","735","29.64666021297192643000","1","41","2257"
"Quitman","","10","","","81","14.20803367830205227000","","20","210"
"Rankin","15","565","22","0.13838305688172652000","5386","33.87868838022631920000","10","673","14387"
"Scott","","55","","","495","17.86552134839571227000","2","77","1215"
"Sharkey","","","","","30","8.60091743119266055000","","","78"
"Simpson","1","47","5","0","629","24.58279595106890218000","3","70","1593"
"Smith","1","23","","","218","15.46977008231620778000","","23","585"
"Stone","2","37","3","0","574","30.74615673040869891000","1","69","1358"
"Sunflower","","17","","","170","6.85179960501390512000","1","31","399"
"Tallahatchie","2","15","","","159","13.21146655587868716000","","30","504"
"Tate","2","45","2","0","747","26.39949109414758270000","2","58","1867"
"Tippah","1","11","1","0","514","23.98394848583827166000","1","16","1449"
"Tishomingo","5","34","7","0","763","40.97964444921854020000","1","48","2047"
"Tunica","","13","","","85","8.98710086699090717000","1","49","266"
"Union","2","29","","","641","22.79111111111111111000","","29","2083"
"Walthall","","16","","","188","13.66179783445970496000","1","37","503"
"Warren","1","184","3","0","915","21.45419587798072639000","2","255","2336"
"Washington","","29","1","0","360","8.46779884273415816000","1","44","723"
"Wayne","","14","","","189","9.60317057060108734000","","14","512"
"Webster","","8","","","177","17.71239867907535275000","","8","574"
"Wilkinson","","1","","","52","6.38585287977403905000","","1","116"
"Winston","1","7","","","227","12.93963404206806134000","","7","664"
"Yalobusha","3","63","1","0","448","36.23422840504691038000","1","93","1463"
"Yazoo","1","57","","","305","11.75427778634191460000","2","107","934"
